    7   10     0     0  con    0  1.0D+00  2.5D-04  6.821D-04  8.128D+02
    8   11     0     0  con    0  1.0D+00  8.7D-04  1.421D-03  8.128D+02
    9   12     0     0  con    0  1.0D+00  2.4D-03  2.649D-03  8.128D+02
   10   14     0     0  con    1  4.1D-01  8.3D-03  5.866D-03  8.128D+02
   11   17     0     0  con    2  2.1D+01  4.6D-02  1.148D-03  8.128D+02
   12   18     0     0  con    0  1.0D+00  5.2D-01  2.327D-02  8.128D+02
   13   19     0     0  con    0  1.0D+00  4.1D-01  2.493D-02  8.128D+02
   14   20     0     0  con    0  1.0D+00  1.6D+00  1.202D-02  8.128D+02
   15   21     0     0  con    0  1.0D+00  2.8D-01  4.320D-03  8.128D+02
   16   22     0     0  con    0  1.0D+00  3.2D-03  1.478D-04  8.128D+02
   17   23     0     0  con    0  1.0D+00  1.1D-04  0.000D+00  8.128D+02

CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL            

 Total User time 0.000E+00 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            2     M =           12

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     7.675D-02  8.150D+02
    1    3     1     0  ---    1  3.8D-02  2.9D-03  1.282D-02  8.150D+02
    2    4     0     0  con    0  1.0D+00  5.9D-04  1.023D-04  8.150D+02
    3    7     0     0  con    2  2.1D+01  9.9D-05  2.046D-04  8.150D+02
    4    9     0     0  con    1  3.3D-01  9.2D-04  1.558D-03  8.150D+02
    5   10     0     0  con    0  1.0D+00  4.6D-04  1.683D-03  8.150D+02
    6   12     0     0  con    1  5.0D+00  1.8D-02  1.739D-03  8.150D+02
    7   13     0     0  con    0  1.0D+00  1.0D-01  1.190D-02  8.150D+02
    8   14     0     0  con    0  1.0D+00  2.1D-01  2.264D-02  8.150D+02
    9   15     0     0  con    0  1.0D+00  7.1D-01  4.363D-02  8.150D+02
   10   17     0     0  con    1  5.0D+00  2.8D+00  5.126D-02  8.150D+02
   11   18     0     0  con    0  1.0D+00  3.4D-01  2.467D-02  8.150D+02
   12   20     0     0  con    1  3.4D-01  8.2D-01  6.219D-03  8.150D+02
   13   21     0     0  con    0  1.0D+00  5.5D-02  1.489D-03  8.150D+02
   14   22     0     0  con    0  1.0D+00  1.6D-01  5.684D-03  8.150D+02
   15   23     0     0  con    0  1.0D+00  2.7D-02  9.095D-04  8.150D+02
   16   25     0     0  con    1  2.4D-01  1.2D-03  6.821D-04  8.150D+02
   17   30     0     0  con    4  1.4D-01  5.1D-04  5.912D-04  8.150D+02
   18   46     0     0  con   15  1.2D-05  3.9D-08  5.912D-04  8.150D+02

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Warning:  more than 10 function and gradient
   evaluations in the last line search.  Termination
   may possibly be caused by a bad search direction.

 Total User time 0.000E+00 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            4     M =           12

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     2.827D-01  8.112D+02
    1    3     1     0  ---    1  4.0D-02  1.4D-02  1.138D-01  8.112D+02
    2    4     0     0  con    0  1.0D+00  4.7D-03  1.615D-02  8.112D+02
    3    5     0     0  con    0  1.0D+00  7.7D-04  4.673D-03  8.112D+02
    4    6     0     0  con    0  1.0D+00  2.2D-04  1.319D-03  8.112D+02
    5    7     0     0  con    0  1.0D+00  8.8D-05  2.274D-05  8.112D+02
    6    8     0     0  con    0  1.0D+00  1.2D-06  2.274D-05  8.112D+02

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 0.000E+00 seconds.

